Date,open,high,low,adj_close,volume
2016-09-12,113.04313572631602,115.60706610351316,112.77055167421007,115.44522094726562,3457400
2016-09-13,114.3464037996008,115.12153712171853,113.6053239896307,114.09937286376953,3331500
2016-09-14,114.03124850642862,114.72973556384001,113.27314179638707,113.8779296875,4592400
2016-09-15,113.31569904054851,115.92222212253162,113.1879333983031,115.51335906982422,3302900
2016-09-16,115.51334441621995,118.01765466671903,115.44519841649313,117.94950866699219,7421900
2016-09-19,118.1283863527415,118.73317400660898,117.14030180191176,117.27658081054688,3239500
2016-09-20,117.65990443652225,118.00062145651708,116.74846626187825,117.09770965576172,2425700
2016-09-21,117.71956142295201,119.218747980728,117.54068947982438,119.17615509033203,3506600
2016-09-22,119.67018913152255,120.4538488266864,119.53389709822702,120.138671875,3018300
2016-09-23,120.12163929337815,120.76900692385072,119.55944443144186,119.68721008300781,2802000
2016-09-26,119.210193879791,119.39759215593038,118.31579537958444,119.0142822265625,2636500
2016-09-27,119.2442860447328,119.9683130998566,118.13693602201705,119.92572021484375,3048600
2016-09-28,120.21534430435136,120.70939317705769,118.96318886779922,119.60204315185547,1990400
2016-09-29,119.40612355796584,119.4913093318056,117.41290122634827,117.82177734375,2201000
2016-09-30,118.55431306333881,119.66166309130162,117.90694539965646,119.25279998779297,4164100
2016-10-03,118.6991290416679,119.01429299025935,117.57473928314148,117.9665756225586,2724400
2016-10-04,118.13694950735615,118.70765783860845,116.83368766184228,117.68549346923828,2452600
2016-10-05,117.72807521881039,118.34136338437851,116.35666747877457,117.2084732055664,4625600
2016-10-06,116.96145493068408,117.11478673682171,115.55598052830338,116.24594116210938,4025300
2016-10-07,116.87627929684348,117.1658901488426,115.82854880677753,116.40778350830078,2568700
2016-10-10,116.6718276128589,117.84732363649526,116.6718276128589,117.6173324584961,2586000
2016-10-11,116.96994640623913,117.28511030603276,114.45710959186664,114.78079986572266,3353600
2016-10-12,114.97672345788476,115.60706432051586,113.83530700172173,115.07894897460938,4287900
2016-10-13,114.69561815588709,114.69561815588709,113.80974605608827,114.30379486083984,3425700
2016-10-14,114.8063601138183,115.42817457543315,114.0482536339661,114.07380676269531,3452900
2016-10-17,114.1930452926042,114.508209174034,113.31568665171531,114.25267791748047,3602500
2016-10-18,118.57133622489313,122.6174128011567,117.43843322383671,122.1404037475586,10141900
2016-10-19,122.50667605369634,124.67025635432421,121.65487053419358,122.97515869140625,5796000
2016-10-20,123.0774156512787,124.26142510612559,122.64298640687667,123.57146453857422,5203700
2016-10-21,122.88147581919947,123.88661322388371,122.4555730031094,123.82698059082031,3331800
2016-10-24,124.36362023807465,124.55101851385162,122.67704875360425,123.24775695800781,2930200
2016-10-25,123.40958647505737,123.83548923015073,122.31927646182002,122.47259521484375,3095400
2016-10-26,122.4470383191622,122.47259144387937,120.86267959909694,121.15229034423828,3267600
2016-10-27,121.56971136576848,122.02116735001903,120.59865338110384,120.90530395507812,3358000
2016-10-28,120.66675100899492,121.25449878988134,118.77574206071618,119.55088806152344,4033600
2016-10-31,119.93425564923834,120.56458360395327,119.2272552966996,120.38571166992188,3761100
2016-11-01,120.53900729099298,120.53900729099298,118.24766111612963,118.76725006103516,3391400
2016-11-02,118.41800589068538,120.30048879316683,118.34133351650709,118.38392639160156,3149700
2016-11-03,118.55431839510418,119.54241618741806,117.2510566335705,117.40438842773438,2989700
2016-11-04,117.93252838704822,118.3073250757828,117.28516055947841,117.30220031738281,3520700
2016-11-07,118.91207098521777,121.33119585172093,118.86947810427124,120.89676666259766,3896600
2016-11-08,120.40271900519129,122.32779485811037,120.10458186538223,121.72300720214844,4389300
2016-11-09,118.86095397831436,122.82185802587549,116.0329659957707,120.8712158203125,8042400
2016-11-10,121.24602936793643,124.84917710905034,120.95641852748776,124.47438049316406,6075500
