Price,Close,High,Low,Open,Volume
Ticker,LIN,LIN,LIN,LIN,LIN
Date,,,,,
2025-07-07,463.3528137207031,467.4082395863614,461.5767337040094,466.09588803355643,2099500
2025-07-08,463.70806884765625,465.523626090698,461.32019838481705,462.15891458554415,1627200
2025-07-09,465.0104675292969,470.13153510843034,461.3497530741578,466.13534022863774,1522500
2025-07-10,464.0928649902344,465.9478993463457,462.8199905459258,465.77029736218327,2238500
2025-07-11,462.5831604003906,463.3823993938467,458.31068565897993,462.7805160014422,1326400
2025-07-14,462.5535888671875,463.7573858391745,460.10651777809824,462.20823159996587,1133000
2025-07-15,454.4427490234375,463.02720595599544,453.95926693579554,461.95168716399814,1263700
2025-07-16,453.5646057128906,456.3964811141554,449.94333796714704,454.3835682760334,1438000
2025-07-17,455.1630859375,455.9820485044777,450.99913540162316,452.75549197198416,1515000
2025-07-18,458.83367919921875,459.2875609809036,454.906531297541,457.7285600200353,2267600
2025-07-21,464.1816711425781,469.90465274231366,458.05416172294395,458.8336772561967,1797700
2025-07-22,465.75054931640625,470.05265480631095,462.681871252829,464.18167154635444,1405300
2025-07-23,463.7475280761719,467.90163204334806,463.46140157098824,467.1813171485366,1193900
2025-07-24,465.2275390625,465.8886531997667,456.29775553225875,460.4419820982105,1383200
2025-07-25,466.6090087890625,467.36877067727875,462.34638053920656,466.1649737209464,1212100
2025-07-28,461.2510986328125,465.0894453642716,459.82037587689086,462.52397303803974,1283700
2025-07-29,465.247314453125,465.40519291287615,461.0438870349323,463.658683154042,1386100
2025-07-30,460.0374755859375,466.066307215745,459.08035806374386,465.13879002466086,1301600
2025-07-31,454.146728515625,461.38923330301066,452.3212946264774,452.3212946264774,2228600
2025-08-01,453.30804443359375,456.3668757461797,443.35206508658035,452.2423723083694,2219300
2025-08-04,461.19189453125,462.2674133217257,453.75203387437443,453.75203387437443,1684900
2025-08-05,463.5994873046875,464.78356070898525,459.78089423857165,461.72472950808066,1691000
2025-08-06,465.2177429199219,467.0925008131249,461.7346301127021,465.50386941570906,1275900
2025-08-07,463.1949462890625,469.4704873811691,461.2807112792248,467.0431398250418,1090400
2025-08-08,466.145263671875,467.10238119851397,462.46479522155414,462.77067534851966,939300
2025-08-11,464.13232421875,467.141801467984,459.93877356299646,464.84276224021426,1069200
2025-08-12,466.9444885253906,468.1778858102336,463.6981784402572,464.2507380148878,1347700
2025-08-13,469.3125915527344,469.82567396780496,462.27728882796026,468.26667309478137,1797800
2025-08-14,471.28607177734375,472.24318933748646,466.34260550037305,469.3915601745002,1545400
2025-08-15,473.7035217285156,476.25914761820746,472.2234448611876,474.49291412510183,1951300
2025-08-18,472.1543884277344,474.6606301941454,470.8223132502656,474.04886991868693,1218100
2025-08-19,473.5456237792969,476.4070994007415,470.2203594712527,472.1148709124556,1512400
2025-08-20,475.95318603515625,479.9198108836654,474.1179053714634,476.37749757666865,1160900
2025-08-21,474.32513427734375,476.49592561528374,473.67389687596176,475.0059720100504,1263500
2025-08-22,475.2723693847656,479.27844118823424,473.3186573274523,477.63060923570026,1782500
2025-08-25,471.5031433105469,477.57145222860703,470.34867014565003,475.51909229486137,1151800
2025-08-26,475.5190734863281,475.68679865584556,468.700849615893,469.9638472433741,1699500
2025-08-27,476.2985534667969,477.3938259122732,473.0127963548445,473.78243505481237,2259600
2025-08-28,475.7459716796875,476.5945646289847,472.76609482402216,476.1505295830198,2579200
2025-08-29,471.9372863769531,476.90047593134625,470.66441192585256,475.77560313450414,2058200
2025-09-02,467.8423767089844,470.8321303398452,466.2241451165054,470.8321303398452,1262500
2025-09-03,465.51373291015625,467.93120361921893,463.75737639129153,465.54333324033,1617900
2025-09-04,467.60235595703125,468.13686132319333,463.8606371441965,465.988871125029,1660600
2025-09-05,464.7614440917969,470.2353968065492,461.8611466411279,466.3749290145667,1066200
2025-09-08,469.8196105957031,470.25515359457796,461.870996178659,464.8999805382915,1677200
2025-09-09,468.6416931152344,469.7107340352207,465.61270859894324,468.3249290618004,2966100
2025-09-10,467.9091796875,470.11655921977507,464.73169140906396,468.1368292954925,1551500
2025-09-11,478.6888122558594,479.530203548449,467.69142659363916,468.1170612941234,1907400
2025-09-12,477.154541015625,479.0154920799845,474.28393850940967,474.30372493475795,2069700
2025-09-15,471.89837646484375,478.40176688922867,470.7006180036093,476.50124290864596,1130700
2025-09-16,466.6916809082031,473.5910415826895,466.12745057418215,471.6113114632763,1470500
2025-09-17,474.9966125488281,476.5012267079413,467.22619633214873,469.09702550593687,1698800
2025-09-18,471.17578125,475.0758521081019,466.52340325938553,474.0365058504233,1650900
2025-09-19,474.1552734375,476.00631627176284,469.1960398058129,472.6704758431778,3742100
2025-09-22,472.91790771484375,473.82856658982564,469.4830749881199,472.1458142302799,1562700
2025-09-23,475.0758361816406,478.07512608533966,469.83944159043625,473.5712521753403,1462900
2025-09-24,469.32470703125,476.8575653377327,468.52291878125936,474.73926990204234,1579400
2025-09-25,468.978271484375,471.5222319633309,465.14749849820464,469.32473030040495,1536700
2025-09-26,469.60186767578125,470.3442664406431,465.9492633359985,467.93890169247874,1476400
2025-09-29,471.6607971191406,471.8785686426788,466.62238754230543,469.9285332481777,1859600
2025-09-30,470.1859130859375,473.92760188068996,468.4338627689998,468.8991005650162,2171200
2025-10-01,462.07891845703125,470.26509184465107,456.12981962251536,467.98841422978063,2286100
2025-10-02,464.72186279296875,465.5236510810294,458.25804511013445,458.7331610092611,1677500
2025-10-03,461.9997253417969,464.67234284997716,458.3075178328695,462.28676445613377,1250700
2025-10-06,463.8012390136719,465.80078567002465,460.386222849271,461.9997076511974,1539000
2025-10-07,465.6028137207031,465.8007988118844,461.1682376777646,463.355830956385,1283300
2025-10-08,463.08856201171875,466.9094568869698,462.7916145742857,465.54343825820865,1208500
2025-10-09,453.5166015625,465.2366008176787,452.87319528387735,463.108396876872,1499900
2025-10-10,449.2205505371094,458.3471072280269,448.3296780609431,453.4274768712733,2038900
2025-10-13,452.0119934082031,455.13994040004883,450.3886002173335,451.93278728713017,1287400
2025-10-14,454.59552001953125,457.3869466847726,448.478161316943,448.6563297743115,1664800
2025-10-15,446.8448791503906,456.85239996970046,446.2212593565164,454.37773742783946,1838000
2025-10-16,439.7376403808594,447.8842406217047,436.4810061145797,447.4586058999649,3033700
2025-10-17,446.32025146484375,446.75576428016643,438.4013313386069,439.6980520926155,2365300
2025-10-20,446.98345947265625,450.6261556059454,445.1522030888628,447.7753394291856,1895900
2025-10-21,445.5184631347656,447.8644687557493,443.8357106191285,445.98370093197104,1766100
2025-10-22,445.3600769042969,450.4677537532656,443.21205654908687,445.7658949735712,1856800
2025-10-23,445.5184631347656,448.08224028227704,444.1128716339561,447.9931258415423,1527000
2025-10-24,441.4798278808594,445.8352282129149,441.07397957104195,444.98395873984794,1593300
2025-10-27,440.3117980957031,445.58776575187386,439.7574760600625,443.11310301837653,2337600
2025-10-28,438.2330322265625,442.68742470845183,437.5104199045188,440.9551609654949,2110300
2025-10-29,427.6316223144531,434.98631259918193,426.84962044396286,434.342906339686,4087200
2025-10-30,425.5528564453125,430.77934232239744,424.2660138485553,428.0671219485096,3635300
2025-10-31,414.0605163574219,422.0883371951917,410.2693467087649,420.6926239237684,4072800
2025-11-03,408.0025634765625,417.9705116436653,404.85479991061953,417.9705116436653,4908100
2025-11-04,413.7041931152344,417.04994175044794,409.8041224798026,411.9521428868607,3483500
2025-11-05,413.99127197265625,415.5354590386045,410.793996976627,412.0709313532594,3076400
2025-11-06,411.11077880859375,415.2384993411482,409.398301317998,412.13033864886427,3443900
2025-11-07,416.2481689453125,418.53475483316976,409.804137693196,412.77373289387134,2563300
2025-11-10,416.4065246582031,417.8913221646805,411.7046658876914,416.2580207409293,2624200
2025-11-11,422.3258972167969,424.0581609709333,417.6636415139832,421.425116439652,2477700
2025-11-12,424.6125183105469,427.1861735726418,420.59366848298737,423.66225628747424,2592700
2025-11-13,424.2957763671875,424.6521132909516,416.65401684975086,422.8703682555621,2873300
2025-11-14,419.0989685058594,425.74095438226567,418.7822044470618,424.2957599003913,2469700
2025-11-17,413.6150817871094,419.08903383681894,413.32801248885715,417.33695351495965,2249300
2025-11-18,410.5168151855469,415.12958972376856,409.4576523825218,414.48618351358,2586700
2025-11-19,409.0122375488281,411.85314531735673,406.56726974586996,410.52672981814015,2635300
2025-11-20,404.3697509765625,411.73434881401215,404.07277335881975,410.39802505487427,2723600
2025-11-21,408.556884765625,412.19961105170745,402.30096070446035,403.25122267947665,3100100
2025-11-24,403.5382995605469,408.2797314157729,402.58800735943765,406.0822297891695,4038300
2025-11-25,403.7164611816406,408.6855727899311,401.9742890507349,407.49775287109105,3580000
2025-11-26,403.7659606933594,406.3297076293941,402.9047829057988,403.37002070242505,2591500
2025-11-28,406.16143798828125,407.4086474201571,402.35045147201333,403.6867753424299,1160800
2025-12-01,403.013671875,407.3987668065006,402.597915261408,405.86445785053525,2074800
2025-12-02,404.6469421386719,407.151299506165,400.17273278057695,403.8649402910633,2139800
2025-12-03,406.4948425292969,408.35270243894166,403.3652903063446,405.69010139538165,1957500
2025-12-04,401.11004638671875,406.077599398282,399.3217091108335,404.96484205528037,2859800
2025-12-05,396.9770202636719,401.98429163743606,396.34115895425265,401.3385158397382,3183600
2025-12-08,386.8531494140625,396.8280039958124,385.26352644301903,396.17228338327436,4569900
2025-12-09,387.8466491699219,394.2547739564685,387.5684674317087,388.6712495769173,3574700
2025-12-10,390.1317443847656,391.7909204667157,386.475632566736,387.09160430222016,5121700
2025-12-11,400.68280029296875,401.66639637342377,392.3075134741772,392.6751075335292,3272500
2025-12-12,413.5388488769531,415.307296559691,404.11044283848673,404.11044283848673,4726400
2025-12-15,414.2839660644531,418.77465327985254,407.33933682905825,414.72111314417407,4798100
2025-12-16,420.7616882324219,421.6955906315826,412.2075461123515,415.81399447854096,3960500
2025-12-17,419.5992431640625,421.655817284718,418.0493691275054,420.2549637671499,4766000
2025-12-18,416.27099609375,421.7253898985101,415.7543814974015,418.7945215042015,3370800
2025-12-19,418.6951599121094,420.64246249506505,414.48268472035625,415.3172299761071,6048500
2025-12-22,420.7616882324219,422.53013590581475,417.8010156989616,418.8243304146967,2354200
2025-12-23,422.34136962890625,422.5698576664626,420.2549912679239,420.85110370242427,1656600
2025-12-24,422.1426696777344,423.86145401953473,421.3876222000252,421.85454309938353,830100
2025-12-26,422.01348876953125,423.23551772871105,420.6623289001134,422.63940530180537,1328200
2025-12-29,423.77203369140625,424.5270811548476,421.00013053715986,421.09948766432115,2240300
2025-12-30,425.5802001953125,426.673067955512,420.6523959451402,421.2485083888434,1501800
2025-12-31,423.62298583984375,426.2160338701518,423.51368391115403,424.33828434238137,1569200
2026-01-02,426.3253173828125,428.0142975241706,419.34093910429476,423.51369573615756,2202400
2026-01-05,430.2894592285156,431.17366792164114,421.3180594667499,422.84804400443466,2617800
2026-01-06,434.3231201171875,436.1511760778937,430.64711857823704,431.2531758419087,2359400
2026-01-07,431.3227233886719,436.17102983880244,430.08083508986476,434.07473694379456,2322200
2026-01-08,436.836669921875,439.55887921241333,429.6039141027177,430.6272287886858,2801600
2026-01-09,441.19818115234375,442.16188766295033,434.3330494748039,434.97882531150077,1787900
2026-01-12,440.7511291503906,443.085885213404,436.53865374787347,439.50924085299397,2284900
2026-01-13,440.0258483886719,441.78438159399144,437.234085966613,441.0889120308256,1790300
2026-01-14,437.1247863769531,441.4763371541067,435.05826743664926,438.96275665426793,2542000
2026-01-15,437.1844177246094,441.11871125443514,434.89932512773987,438.9131164853814,2336600
2026-01-16,436.11138916015625,437.6712080240281,432.83281642319093,436.6081444426987,3297000
2026-01-20,430.339111328125,432.0876996904485,426.3849585354218,431.5015320734281,2958400
2026-01-21,436.4989013671875,438.08852443914174,430.2199069087145,430.65705401149035,2633300
2026-01-22,442.74810791015625,444.38739444574276,436.9956726624594,436.9956726624594,2214000
2026-01-23,448.63958740234375,449.0469303853115,440.1947473308863,440.3636271533745,1639000
