Date,open,high,low,adj_close,volume
2016-09-12,181.64373136940537,183.94788018170226,180.70670991484408,183.41024780273438,1822000
2016-09-13,182.5423400365194,183.34879442954343,182.0277482305628,182.3426513671875,1609000
2016-09-14,182.3426513671875,183.57152364843262,181.95862658189094,182.3426513671875,1494500
2016-09-15,182.3426626138611,183.94020722557013,181.79734222852252,183.6329803466797,1267100
2016-09-16,183.11839164811786,183.28736350452746,182.21977498603445,182.37338256835938,2892900
2016-09-19,183.79427742854438,185.78352314268767,183.62530557364732,185.00779724121094,1456600
2016-09-20,185.36878794782993,186.05235166840708,184.70057678222656,184.70057678222656,1007900
2016-09-21,185.20750509915675,187.304277508996,184.80811597173218,187.26588439941406,1660200
2016-09-22,188.1337404560934,189.73128497337103,187.97245660877815,189.4163818359375,1173000
2016-09-23,189.00165791103294,189.35495418455278,187.89566454791287,188.81732177734375,858800
2016-09-26,188.7174939295378,190.0769334387799,188.17984977251794,188.57923889160156,880700
2016-09-27,188.9708972661935,189.72359422795037,188.40254812632242,188.7788848876953,946500
2016-09-28,189.04001622985092,189.67749868424767,188.06459013991807,188.74815368652344,1352500
2016-09-29,189.00159833932003,189.00159833932003,185.06918914947326,186.12908935546875,1134100
2016-09-30,186.68218108267234,186.99708431094217,182.28125904385138,184.1168975830078,2167000
2016-10-03,183.3411555454648,185.330401526328,182.4425270514291,184.77740478515625,1338300
2016-10-04,185.06924046538148,185.13836211807907,181.64373402444727,182.1045684814453,1409600
2016-10-05,183.60222357144272,183.60222357144272,181.64369512785458,181.7205047607422,1172100
2016-10-06,182.0277943729965,182.04315864976488,180.0923056830109,180.27664184570312,1899700
2016-10-07,179.1092282924376,179.71599425588997,177.8573149669485,179.36268615722656,2183900
2016-10-10,179.58534546258966,180.43786918414767,179.04770141977932,179.1782684326172,990000
2016-10-11,178.95559445700232,179.43946955706465,177.91104631242143,178.0723419189453,1060700
2016-10-12,178.13370350675658,179.0476842283707,177.7035976894098,178.2642822265625,1256000
2016-10-13,177.92635345648904,179.27811638385876,177.4578427835617,178.94786071777344,1112000
2016-10-14,179.24745411472963,179.7927628734207,178.13377260342733,178.62533569335938,1081000
2016-10-17,178.709751526068,179.97704022916477,178.6483178794075,178.7788848876953,793300
2016-10-18,179.94635553330326,184.02470920484149,178.63299713494177,178.79428100585938,867900
2016-10-19,179.01704686528998,179.52396254052127,177.86497217767877,178.44100952148438,992400
