Date,open,high,low,adj_close,volume
2016-09-12,23.639531378342813,24.39430569535053,23.50367177094258,24.333925247192383,13888100
2016-09-13,23.918794547059537,24.152774143481608,23.60178932884164,23.745195388793945,13954100
2016-09-14,23.767846638501545,24.009374225869934,23.631987010702332,23.820680618286133,11687600
2016-09-15,23.813132716119462,24.25844974546514,23.775394570426297,24.11504364013672,9947900
2016-09-16,23.903700822299278,24.00182084246438,23.68481559633594,23.843318939208984,14756200
2016-09-19,23.941446078903834,24.228259748968828,23.79049204609734,23.850873947143555,7806500
2016-09-20,24.032015682021996,24.152779464173435,23.88860815086047,23.926347732543945,8849000
2016-09-21,24.03201199331445,24.19806324799862,23.775388635727662,24.09239387512207,10073600
2016-09-22,24.250899611643852,24.484877807205507,24.137682312398486,24.333925247192383,8185300
2016-09-23,24.24335223980374,24.34147371522944,23.903704633129408,24.084850311279297,9400600
2016-09-26,23.79803768752603,23.828227915352564,23.3678150641499,23.420650482177734,10217700
2016-09-27,23.262147084019986,23.767845996264676,23.111193065802695,23.66217803955078,9753500
2016-09-28,23.730107700907766,24.001825507820413,23.639534138858263,23.979183197021484,7425100
2016-09-29,23.979182822357732,24.235806231267446,23.201764678940897,23.428197860717773,12529700
2016-09-30,23.601796143915724,24.394308698491567,23.398006707727212,24.198068618774414,16269700
2016-10-03,24.167877619954346,24.265999102145347,23.75275081923961,24.11504364013672,10324300
2016-10-04,24.205614264510224,24.45469119326308,24.009372751916327,24.182971954345703,9525400
2016-10-05,24.281090286801923,24.703764973763462,24.2282563108362,24.575454711914062,11157700
2016-10-06,24.515065718595665,24.64337883004968,24.3037298635362,24.44713592529297,11347200
2016-10-07,24.40940302121064,24.54526263692635,24.115041480238506,24.386760711669922,11406100
2016-10-10,24.62073933174997,24.688669140739577,24.462237403852797,24.575454711914062,6609200
2016-10-11,24.522622081810205,24.72640864072759,24.115043205503618,24.28864097595215,6827700
2016-10-12,24.288639739054624,24.439595190655137,24.062206561653856,24.084850311279297,6743300
2016-10-13,23.76783662456406,24.907545706938674,23.367805826766126,23.94898223876953,13893500
2016-10-14,24.333923396604163,24.74904866354114,24.06975067820041,24.205610275268555,13734100
2016-10-17,24.190514177875187,24.281086281843653,23.858414543833963,23.994274139404297,10114300
2016-10-18,24.3414741131714,24.537714187995228,24.182972182055714,24.39430809020996,13091600
2016-10-19,24.78678745431326,24.907551223865617,24.288636545005364,24.854717254638672,18522700
2016-10-20,24.786787625410543,25.050957473368772,24.590547578246632,24.832075119018555,10650700
2016-10-21,24.60564765772407,25.300041698014795,24.560363030233876,25.23965835571289,13910300
2016-10-24,25.337776369202615,25.420802013852633,25.164178602768867,25.19437026977539,9221300
2016-10-25,25.201912166279715,25.35286759463925,25.05850609291758,25.171720504760742,7912200
2016-10-26,25.02077690541523,25.398164171685526,24.952847082317124,25.352876663208008,9113000
2016-10-27,25.679365158081055,25.823630213043213,25.497135919863755,25.679365158081055,12608400
2016-10-28,25.58065694758352,25.838817458714608,25.185823054295874,25.45157814025879,10183500
2016-10-31,25.595846712520572,25.72492843403697,25.42880369756327,25.489545822143555,8687200
2016-11-01,25.573069590140474,25.68696506000895,24.988411778014374,25.330095291137695,8988700
2016-11-02,25.147859931669164,25.18582411798677,24.851735223317394,24.996000289916992,8900400
2016-11-03,25.10989297827178,25.231380098989437,24.88210498898636,24.912477493286133,8172500
