Date,open,high,low,adj_close,volume
2016-09-12,135.8075195577333,139.5968948005133,135.17324793951568,139.10086059570312,2647900
2016-09-13,137.05168446507807,138.21452417101398,135.29524646286745,135.79940795898438,2788200
2016-09-14,135.79946952383872,136.49879662968257,134.65289617449068,135.1164093017578,1995900
2016-09-15,134.807379061142,137.2306232196714,134.79111217997215,136.67767333984375,1645200
2016-09-16,136.49060622015296,136.65323775852133,134.6691007296504,134.98623657226562,4534900
2016-09-19,136.0758867500926,136.8646627698394,134.72602135465044,135.15701293945312,2030700
2016-09-20,136.352367674498,136.8402747379942,135.30338361837084,135.36843872070312,1532900
2016-09-21,136.14094261927383,136.84026943224072,134.92931465029875,135.8238067626953,2333600
2016-09-22,136.9785330016236,137.694126828075,136.36865528353266,136.62887573242188,2467700
2016-09-23,136.40927969609942,136.69389418474205,134.21372298139667,134.27877807617188,3421200
2016-09-26,133.22163861022574,133.33548191050616,130.92036608999567,131.31068420410156,2772200
2016-09-27,130.69271284077203,132.91266396674203,129.96086463906528,132.45729064941406,2602700
2016-09-28,132.82322472700193,133.18914885534093,131.47335914353582,132.9126739501953,1678100
2016-09-29,132.85572183299763,133.3273619335381,128.29383752465517,129.2533721923828,3733800
2016-09-30,130.06657819294256,132.06698245495645,128.3182671295674,131.1399688720703,4497200
2016-10-03,130.51385810037323,131.50592704866688,130.31056548650972,130.9773712158203,2444700
2016-10-04,131.11554556804637,133.48186102388533,131.1074059262936,131.95310974121094,2469900
2016-10-05,132.80698498508863,135.44978857218797,132.5548917586806,135.31153869628906,2548200
2016-10-06,135.94578083080978,136.03523004435957,134.02671117281764,135.92138671875,2858000
2016-10-07,136.2059746473915,138.22263276793376,135.1813849169202,138.1006622314453,3390200
2016-10-10,138.6617704624206,139.6619662222639,138.32024050559585,139.08460998535156,2532000
2016-10-11,138.1088057686255,138.94636997269455,136.53939344325045,137.45826721191406,2680000
2016-10-12,137.4582760727977,138.230797638186,136.8565381056427,137.66970825195312,2404000
2016-10-13,136.28733778936257,136.3117319040309,134.58780255017862,136.14096069335938,2713700
2016-10-14,139.54004497501367,140.63781756527433,137.51524622125055,138.6618194580078,5282300
2016-10-17,138.64555209910375,139.27169677637073,136.97855031074124,137.42579650878906,3061400
2016-10-18,139.87341996662974,141.06065407374277,139.1334444177245,140.37759399414062,4482500
2016-10-19,140.97935824508977,142.85778001662032,140.82485387288656,141.9063720703125,3676000
2016-10-20,141.49165960386955,142.94722926326446,141.32902799397013,141.9063720703125,2471100
2016-10-21,140.54831992765887,142.22344838200934,140.27997230031272,142.0364227294922,2004400
2016-10-24,142.71136765004186,142.94718154447688,141.77622689929265,142.40235900878906,1943200
2016-10-25,142.33728946623043,143.08541688053043,142.01202638800603,142.75201416015625,2423300
2016-10-26,142.13401290842117,144.66297271090417,141.43468604448074,143.98805236816406,2533800
2016-10-27,144.89882782596766,145.43552323923552,143.58149581885098,144.54103088378906,3021900
2016-10-28,145.1590222232545,145.1590222232545,142.67886279552425,144.04498291015625,2042800
2016-10-31,144.484128258151,145.15093402294656,144.11820401532282,144.93951416015625,1828200
2016-11-01,145.55745749116917,145.70382216297784,143.61398132042797,144.79307556152344,2900600
2016-11-02,143.98804218478762,144.33769938803252,143.17487204739027,143.58958435058594,2104800
2016-11-03,143.74411544193097,144.71991730700432,143.2887420654297,143.2887420654297,1972700
2016-11-04,143.38628969220272,144.2075870519309,142.08521252844363,143.05288696289062,1846500
2016-11-07,145.55746853757518,147.59039407580948,145.55746853757518,147.57412719726562,3338800
