Date,open,high,low,adj_close,volume
2016-09-12,64.45820785177567,65.94379503172435,64.32169635599196,65.78318786621094,4110800
2016-09-13,65.12473846666546,65.25322424773373,64.18520916712602,64.42611694335938,4740600
2016-09-14,64.54657018381452,65.54231669199727,64.42612241201317,65.06050109863281,5324800
2016-09-15,64.90791001640714,66.12849399634577,64.83563525113033,65.87152862548828,3499400
2016-09-16,65.54229831940714,65.91168567797867,65.21305816466887,65.8875961303711,6715400
2016-09-19,65.99197580639924,66.12848730567535,65.32546983717526,65.75106811523438,4351200
2016-09-20,66.21682426928388,66.38545721407681,65.57441392624477,65.60652923583984,2774600
2016-09-21,66.08834871744926,67.04393546340269,65.85547288606324,67.02787780761719,4264300
2016-09-22,67.42939069812482,67.81483572581504,66.89939612687795,67.05197143554688,3925200
2016-09-23,67.05999603410451,67.11620701646855,66.16061418974228,66.20076751708984,3031500
2016-09-26,66.00804411971872,66.39349526252151,65.85547494211055,66.14456176757812,3340800
2016-09-27,66.0000068973215,66.55408477783203,65.58243438789707,66.55408477783203,4295600
2016-09-28,66.85121135917241,69.58950415858654,66.76287893812436,69.53328704833984,9497100
2016-09-29,69.2843742118623,71.3481296951702,69.2843742118623,70.2399673461914,10616400
2016-09-30,70.65752172130175,71.45251361055887,70.51297829839487,71.28387451171875,6379100
2016-10-03,70.85022603695678,71.62112198552657,70.8020408281774,70.89037322998047,4294600
2016-10-04,71.06705754634807,71.42841301546002,70.00707456020983,70.2720718383789,4743300
2016-10-05,70.76191271109879,72.16719350302688,70.69766983309866,71.80583190917969,5189500
2016-10-06,71.43644163776648,71.99855760754106,71.23568724710508,71.7014389038086,3786900
2016-10-07,71.88614128230142,72.0628061552549,70.61737798175503,71.04297637939453,3774200
2016-10-10,71.54886209697116,71.87007034056053,70.77796598827928,70.84220886230469,3785700
2016-10-11,71.54888414345517,71.72554903819227,70.07133434481678,70.2399673461914,6471900
2016-10-12,70.2640270919289,70.4647814550487,69.87857601906262,70.3282699584961,3950000
2016-10-13,69.78224420235247,69.91875575046518,69.26831332877816,69.83845520019531,5677000
2016-10-14,70.52899838119014,71.00277556316081,70.3121803179053,70.4005126953125,3601000
2016-10-17,70.16767422036915,70.44070338447986,69.78222921126195,70.09540557861328,4479700
2016-10-18,70.75389274876326,70.82616140379432,69.67784580372361,70.0392074584961,3715700
2016-10-19,70.11145854664078,70.89038653057386,69.75010310894736,70.66554260253906,5943900
2016-10-20,70.52782733829466,70.69794885892667,69.85544404644956,70.17948150634766,4576600
2016-10-21,69.45039996939082,70.17949052851064,69.15065848177058,69.93646240234375,3592500
2016-10-24,69.76635139684042,70.5845542466492,69.29648829575292,69.6610336303711,5096500
2016-10-25,69.55571899183822,71.00580983496062,67.95170599255151,68.43777465820312,11639200
2016-10-26,67.89499448953717,68.36485754013383,67.14159552241475,68.15422821044922,6582100
2016-10-27,68.2757343919784,68.32433877539138,67.00386818751855,67.24690246582031,5003200
2016-10-28,67.49803328081825,68.18662216109922,67.2387996018671,67.95169067382812,4974000
2016-10-31,68.20284572357339,68.35676170499806,67.57096385082983,67.61146545410156,4679400
2016-11-01,67.61954863648211,67.76536796333504,66.14515596746627,66.62311553955078,5139600
2016-11-02,66.55022140308449,66.55022140308449,65.07582845853973,65.70771026611328,5228600
2016-11-03,66.13705223098687,66.1613544216784,65.35935122576714,65.83731079101562,3859000
2016-11-04,65.89400591829062,67.15777522881342,65.28642653958715,66.6798095703125,5745800
2016-11-07,67.83830223543598,68.17855159076514,67.21452308180395,67.84640502929688,3786400
2016-11-08,67.86258533277689,68.8590185560605,67.28741074298291,68.59978485107422,3407700
2016-11-09,72.73128895939054,75.50184897774851,72.39104604779205,73.88163757324219,19281900
2016-11-10,74.56217546779584,76.91958129834347,74.4001505192542,75.70442199707031,14174400
2016-11-11,75.65582246504832,76.4254209330671,74.3839558952005,75.34798431396484,7369900
2016-11-14,75.5423855327492,77.36512405766808,75.35605843072985,76.28768157958984,7552800
2016-11-15,75.71251723312704,76.52262335312278,75.04823046195531,76.50642395019531,4645400
2016-11-16,75.96364854535203,76.47401935918488,75.21024960263524,75.62340545654297,3297200
2016-11-17,75.74489830488963,75.74489830488963,74.85378309036732,75.16162109375,3942200
2016-11-18,75.34798985485972,75.66393082227945,74.44877135355104,74.80521392822266,4715900
2016-11-21,75.44518631669415,76.02846375518028,75.1616503898244,75.25886535644531,3783200
2016-11-22,75.66390824389602,75.91503914802956,75.17784583757157,75.84213256835938,3172800
2016-11-23,76.80616037013252,78.11043173664375,76.32820071911773,77.91600799560547,6535900
2016-11-25,77.73776621308492,78.12661978852059,77.13018675064151,77.61624908447266,2006900
2016-11-28,77.3732470160862,77.65678295774389,76.53073580328905,76.87908172607422,4916000
2016-11-29,76.14996043732233,76.61172058849415,75.85021900632317,76.18236541748047,3806000
2016-11-30,77.56766421242227,77.68918137159434,76.43351436118203,77.41374206542969,4641900
2016-12-01,77.77019112093518,78.89623818542417,76.19048658603899,77.96461486816406,9361600
2016-12-02,77.25171064160843,77.89169513974505,76.90336480542314,77.073486328125,5038300
2016-12-05,77.66488958623819,77.76209838211034,76.27150582628137,76.51453399658203,4980300
2016-12-06,76.23097704582192,77.21120461149258,76.20667485354704,77.13829803466797,3663100
2016-12-07,77.16260361372892,78.84762573242188,76.90336991705453,78.84762573242188,4901100
2016-12-08,78.79092400925418,78.90433837311242,77.87550012588784,77.9889144897461,3861600
2016-12-09,77.95652047863966,78.0132276640569,77.114009309141,77.38944244384766,6550200
2016-12-12,77.77830909390228,78.29677664145377,76.88719338283694,77.02490997314453,3596700
2016-12-13,77.55954065034962,78.17522289282465,77.10588330358792,77.78636932373047,3803300
2016-12-14,77.58385296125678,77.77018007048116,75.83402712359262,75.93933868408203,5647400
