Model,TickersWithData,TickersProfitable,WinRate,TotalPortfolio,AvgFinalPerTicker,AvgSharpe,AvgDirectionAcc,AvgR2,AvgMAE
Dense NN,64,47,73.4375,753123.96,11767.561875,0.5945903525618093,0.49544870383051237,-5.22390189613335,0.016574550159059936
XGBoost,64,42,65.625,694118.6569999999,10845.604015624998,0.5791983373096342,0.4908897438526848,-0.21761348317895043,0.01399827696016415
Ensemble,61,47,77.04918032786885,679296.7239999999,11136.011868852458,0.6688999984976791,0.4900827710063164,-0.09281066668720217,0.013483698578222625
Random Forest,60,36,60.0,645092.8050000002,10751.546750000003,0.43709205794618616,0.4992235281326987,-0.052426587085065944,0.013072673780182212
LSTM,31,21,67.74193548387096,363558.776,11727.702451612904,0.8039778458862282,0.5230507347691548,-0.01045207864719839,0.014423398445415651
