Model,Count,MAE_mean,MAE_median,MAE_std,MAE_min,MAE_max,MAE_p25,MAE_p75,RMSE_mean,RMSE_median,RMSE_std,RMSE_min,RMSE_max,RMSE_p25,RMSE_p75,R2_mean,R2_median,R2_std,R2_min,R2_max,R2_p25,R2_p75,DirectionAcc_mean,DirectionAcc_median,DirectionAcc_std,DirectionAcc_min,DirectionAcc_max,DirectionAcc_p25,DirectionAcc_p75,FinalPortfolio_mean,FinalPortfolio_median,FinalPortfolio_std,FinalPortfolio_min,FinalPortfolio_max,FinalPortfolio_p25,FinalPortfolio_p75,Sharpe_mean,Sharpe_median,Sharpe_std,Sharpe_min,Sharpe_max,Sharpe_p25,Sharpe_p75,Volatility_mean,Volatility_median,Volatility_std,Volatility_min,Volatility_max,Volatility_p25,Volatility_p75
Ensemble,64,0.013319020438942418,0.0119598328469839,0.0052965526326736265,0.006953767228659983,0.03134386829837744,0.009873592296091789,0.014622463724419436,0.017041783562234833,0.015311783969579999,0.0068725004326159285,0.008796741424693695,0.03910818043304051,0.012533526138295555,0.018381963172337003,-0.11330926363816932,-0.07599103026181497,0.12420691168241535,-0.5973504998664243,-0.005509620329524845,-0.12100685450720905,-0.04112490626456067,0.48681582128345546,0.48662122745401515,0.031245597425635863,0.4050632911392405,0.5655172413793104,0.47272398480982136,0.5035414558657223,11082.761312499999,10951.129999999997,2006.3440588866697,6425.7599999999975,19228.59999999999,10000.0,11752.412500000002,0.6688999984976791,0.7004428296508034,0.748766660761975,-1.2317059501911967,2.521931762024265,0.23030965657878702,1.1296879340558497,0.011835693388050426,0.010639842589711871,0.009794579417834555,0.0,0.0731137170844776,0.007333463218292076,0.013894873792495719
LSTM,64,0.0125991543862152,0.011557349050535305,0.005048152483405235,0.005839790552314388,0.030531044616532662,0.00944777120045526,0.0138961227705852,0.01631959718345667,0.014811531223898574,0.006680926832794521,0.007429896690151687,0.03807692745417149,0.012192294256912069,0.01798212055628218,-0.009048318328560283,-0.00670396370977433,0.012169371312213724,-0.06375414043439465,0.0063729257248292814,-0.01161210726924039,-0.0016226004749717582,0.5161455726005292,0.5121578527770396,0.04002082008058166,0.445141065830721,0.6388888888888888,0.48435043238993714,0.5410726960842305,10836.855875,10000.0,2348.734838080723,6766.09,19724.0,10000.0,11016.85,0.8039778458862282,0.6842133990310899,0.979594633101325,-0.9966023930017505,2.9642408308893113,0.032450512242818516,1.4124866193436223,0.00833826881154387,0.0,0.012595663603883998,0.0,0.07220551865794816,0.0,0.013109406223973717
XGBoost,64,0.01399827696016415,0.012551554781102377,0.0056345558938899485,0.006475902592578724,0.032129105995678704,0.01025706644159546,0.015324605441890739,0.01779746902103671,0.015914855716749277,0.0071996354168312035,0.008530975137295255,0.04011546593833239,0.01300012858615564,0.01909752676565319,-0.21761348317895043,-0.16169842548998592,0.1935380489059497,-1.2132333614754098,-0.035133114374544805,-0.23121711842792153,-0.11495729078977246,0.4908897438526848,0.4905708889174569,0.03486971408184507,0.3333333333333333,0.5691823899371069,0.47468354430379744,0.5114779874213836,10845.604015624998,10794.377500000002,1987.0841718222198,5528.5500000000075,16065.590000000022,9834.064999999984,11992.412499999999,0.5791983373096342,0.6088535396219276,0.8315977482275959,-1.399780192619847,2.248631739254688,-0.007606690831708415,1.0768409991912438,0.012136594438635195,0.010601984795709733,0.009678688150971455,0.0005613263396771775,0.07451877891819438,0.007428668838237697,0.013989501287646549
Dense NN,64,0.016574550159059936,0.013380895196224324,0.013378799782184113,0.006574414212958423,0.1063668523874879,0.010690621593867414,0.01570751130455854,0.02392598770686955,0.017111674138808125,0.038421859582943856,0.008382584945205536,0.318405912093465,0.013793193051566422,0.02022065402163903,-5.22390189613335,-0.32926634032062907,38.587069145725124,-309.0866823290629,-0.059339425765802645,-0.5067404906860948,-0.2038905662846135,0.49544870383051237,0.5,0.028759096834135894,0.4336734693877551,0.553125,0.47795259135419155,0.5142181162685895,11767.561875,11116.41,3798.402546993364,5299.21,33851.45900000001,9880.890000000003,12286.485000000004,0.5945903525618093,0.5572935448748184,0.9114936789229526,-1.6909044325668503,2.8863370405449085,0.01733390376661756,1.2785886841090526,0.013605483385656217,0.012143253496886604,0.009328187541078618,0.0005784854999002141,0.0698466218961829,0.008187470659125584,0.01682418581544147
Random Forest,64,0.013019767547090912,0.011755593107146366,0.005107387323128873,0.006255685932049387,0.031194129840125415,0.009912495841357475,0.013979885986341166,0.016740945028663235,0.015199961775088297,0.006724656328260967,0.007906845354293332,0.03889690843030139,0.012391310218228663,0.01805100324409121,-0.07615714727347841,-0.03787610147991327,0.12124754862270955,-0.6372738869790329,0.01018105939502667,-0.08209258758067206,-0.014497508001096782,0.49480392183154703,0.4960666243403039,0.03428995933508448,0.40189873417721517,0.5817610062893082,0.4718571125715497,0.5166614830941485,10704.575078124999,10214.055,2430.782494424295,5753.619999999996,22848.295,9688.265,11566.0275,0.43709205794618616,0.2381947621391847,0.9351270418667401,-1.7337301585729754,2.8684304301582944,-0.10309740886622623,0.985721005532898,0.011649064256367567,0.010713419244558198,0.010406240265412637,0.0,0.0756187559240102,0.006533412241899501,0.015077220903583637
