Model,MAE,RMSE,R2,DirectionAcc,FinalPortfolio,Sharpe,Volatility
Random Forest,0.013459318262698932,0.0189690651853003,-0.01745965057941512,0.5454545454545454,10458.949999999993,0.39577711953995554,0.014563612113325781
LSTM,0.013744359401778488,0.019006469682531432,-0.021476199477773683,0.5056818181818182,11100.850000000002,0.7328320186970998,0.015567595084800398
Ensemble,0.013614523319845846,0.019082530333637483,-0.02966810523222363,0.5056818181818182,10826.41,0.6935743478567735,0.012029517805616665
XGBoost,0.013984958999828268,0.019475906448616073,-0.07255777901558758,0.4943181818181818,10437.009999999986,0.42580453035551313,0.011604194111627381
Dense NN,0.014394472984375987,0.01980294991575979,-0.10888144306299719,0.48863636363636365,9319.539999999999,-0.40288902947152233,0.012666077558768217
