Model,MAE,RMSE,R2,DirectionAccuracy,Samples,Error
LSTM,0.018866263039934054,0.024515510428904267,0.01103927335926247,0.5451713395638629,321,
Dense NN,0.020739069257395652,0.026966861442749755,-0.19662472703305411,0.5825545171339563,321,
Random Forest,0.0197316308978685,0.02504838132318855,-0.032420210550910156,0.5202492211838006,321,
XGBoost,0.022101140636089023,0.028276950986821515,-0.31571650743846136,0.5264797507788161,321,
LightGBM,0.021172873025718266,0.026397297581579254,-0.14661099526175847,0.470404984423676,321,
Ensemble,0.02067741186405869,0.02614073810088938,-0.12443112178626015,0.5233644859813084,321,
