Model,MAE,RMSE,R2,DirectionAccuracy,Samples,Error
LSTM,0.021487086186982154,0.027859692305750465,-0.04375786946259197,0.4559748427672956,318,
Dense NN,0.02889408312652773,0.0367745723663697,-0.8186218061526964,0.41823899371069184,318,
Random Forest,0.022187807669652792,0.028568621349475094,-0.09755349631716048,0.4528301886792453,318,
XGBoost,0.022953414202369828,0.029656372064505634,-0.1827233610021275,0.5,318,
LightGBM,0.02301304591906997,0.029697748454636907,-0.18602592014691366,0.5094339622641509,318,
Ensemble,0.02243212136396475,0.02889631531200352,-0.12287669159572778,0.4811320754716981,318,
