Model,MAE,RMSE,R2,DirectionAccuracy,Samples,Error
LSTM,0.017551187827437902,0.02159496300641049,-0.019763850745999845,0.48427672955974843,318,
Dense NN,0.021022071909573854,0.026241255133417143,-0.5057882066279744,0.48427672955974843,318,
Random Forest,0.017758352122380437,0.021742992125310237,-0.033792318999479765,0.5062893081761006,318,
XGBoost,0.020268106888694813,0.024166852270604066,-0.2771292702541228,0.46226415094339623,318,
LightGBM,0.01986360254233903,0.024156808057623037,-0.27606789142675914,0.44025157232704404,318,
Ensemble,0.018994964820485714,0.022942897296411992,-0.15104209329996898,0.46540880503144655,318,
