Model,MAE,RMSE,R2,DirectionAccuracy,Samples,Error
LSTM,0.01732088139058177,0.022187408259014232,0.012157890925811987,0.578125,320,
Dense NN,0.018581552939281393,0.02325657736909411,-0.08534044477635261,0.503125,320,
Random Forest,0.017919990334358697,0.02252164595984805,-0.017828576313229316,0.459375,320,
XGBoost,0.01833853054058393,0.02347571370162123,-0.10589016188717859,0.490625,320,
LightGBM,0.018536678014854622,0.02341363715132781,-0.10004931017641505,0.50625,320,
Ensemble,0.018016374730135582,0.022796937110342173,-0.042863309043201125,0.46875,320,
