Model,MAE,RMSE,R2,DirectionAccuracy,Samples,Error
LSTM,0.022413196462023135,0.02887562494173023,0.00948703508528681,0.5817610062893082,318,
Dense NN,0.02399986110819463,0.03160598958824005,-0.18668694702261068,0.5974842767295597,318,
Random Forest,0.02324917766330917,0.029325055060249506,-0.02158628166401888,0.5062893081761006,318,
XGBoost,0.02412973025689842,0.030808014671371325,-0.12752142967168556,0.5220125786163522,318,
LightGBM,0.023637099930467708,0.029974741544114843,-0.06735348925352569,0.5251572327044025,318,
Ensemble,0.023185909541762206,0.029420269729181225,-0.02823096901146971,0.5471698113207547,318,
