Model,MAE,RMSE,R2,DirectionAccuracy,Samples,Error
LSTM,0.017134064728635778,0.024719742788079178,0.0018431477985549893,0.5323383084577115,201,
Dense NN,0.01971642108238475,0.02812293245322351,-0.29190953888457294,0.5920398009950248,201,
Random Forest,0.018812430516886282,0.026797350294666702,-0.17299079533172246,0.5373134328358209,201,
XGBoost,0.026180535851252427,0.036074276826431745,-1.1257205188605606,0.5373134328358209,201,
Ensemble,0.021482541473712695,0.03053198567304631,-0.5227233142224434,0.5621890547263682,201,
