Model,MAE,RMSE,R2,DirectionAccuracy,Samples,Error
LSTM,0.009097911896992593,0.012801875795291537,-0.01342234778950302,0.4875,320,
Dense NN,0.009690388189596397,0.013250830896779985,-0.08574910924560064,0.534375,320,
Random Forest,0.0090630838977041,0.012845718845002747,-0.020375642793544646,0.534375,320,
XGBoost,0.010336598043587972,0.013950693819823638,-0.2034689030569381,0.459375,320,
Ensemble,0.009519634201740523,0.013158540883679275,-0.07067762456428994,0.503125,320,
