Model,MAE,RMSE,R2,DirectionAccuracy,Samples,Error
LSTM,0.006457051382940577,0.008179260669309503,-0.0027980969208696305,0.4952978056426332,319,
Dense NN,0.007058263452080497,0.008838413083098344,-0.17093825176011723,0.5705329153605015,319,
Random Forest,0.006622624668317451,0.008346811109102596,-0.044303115211174804,0.5360501567398119,319,
XGBoost,0.007557643327131581,0.009730317803521498,-0.41918643981560644,0.5078369905956113,319,
Ensemble,0.006962247173268711,0.008884431084558017,-0.18316318722394587,0.49216300940438873,319,
