Model,MAE,RMSE,R2,DirectionAccuracy,Samples,Error
LSTM,0.010528203090780225,0.013223374697232143,-0.028148333446277096,0.5221518987341772,316,
Dense NN,0.01151228786553727,0.015051758875946095,-0.3321271271325483,0.5664556962025317,316,
Random Forest,0.012903755162375458,0.015602047953239932,-0.4313122364255131,0.41139240506329117,316,
XGBoost,0.012143225617075133,0.015050244202577386,-0.3318590340842378,0.5031645569620253,316,
LightGBM,0.012935447364126442,0.015637276705557396,-0.4377832165541633,0.4462025316455696,316,
Ensemble,0.012457962474893114,0.015118848006046619,-0.3440287826037538,0.44936708860759494,316,
