Model,MAE,RMSE,R2,DirectionAccuracy,Samples,Error
LSTM,0.018785455254882844,0.024231390422221617,-0.08008320393114854,0.5739644970414202,338,
Dense NN,0.01918830007315916,0.02441481364737417,-0.09649680316072251,0.5591715976331361,338,
Random Forest,0.018709432605567438,0.02366236583124291,-0.029951729589110965,0.5029585798816568,338,
XGBoost,0.020062314956071706,0.025715670163429186,-0.2164555264694732,0.5266272189349113,338,
LightGBM,0.019542867972224542,0.02485799859536904,-0.13666597652415935,0.514792899408284,338,
Ensemble,0.01908652601234265,0.02417184466179323,-0.07478137418719744,0.5,338,
