Model,MAE,RMSE,R2,DirectionAcc,FinalPortfolio,Sharpe,Volatility
Random Forest,0.01093173252157389,0.018050644745521236,-0.03138344674035953,0.5428571428571428,11225.859999999991,1.1153077535451383,0.010213878776472179
XGBoost,0.011484266133514515,0.01826298779584597,-0.0557920239766585,0.5028571428571429,9841.510000000004,-0.015563373626947876,0.012415495108953381
LSTM,0.01126698166089736,0.01800897510381604,-0.02662707676292886,0.49142857142857144,10599.609999999997,0.6080790839277866,0.010057900400340799
Ensemble,0.010998828601647543,0.018028724740676516,-0.028880023359105333,0.49142857142857144,9804.45,-0.04417719858196893,0.01237602785999849
Dense NN,0.01444245769006916,0.02006332711483809,-0.27420887886303213,0.45714285714285713,10093.990000000002,0.17035536525038736,0.00816836168348611
