Model,MAE,RMSE,R2,DirectionAcc,FinalPortfolio,Sharpe,Volatility
LSTM,0.027732556280894174,0.035963412435995316,0.005697262777425438,0.550314465408805,14515.561793010722,1.7641018306638487,0.011145555280719203
XGBoost,0.030212929886328958,0.038257091581022216,-0.12517674823020308,0.5314465408805031,13069.27852407838,1.4765817900139184,0.009576943013230713
Dense NN,0.03515836897698595,0.043294286221376946,-0.44098020766851254,0.5188679245283019,13762.106243303311,1.479321088023118,0.011531309527939716
LightGBM,0.030583913520428097,0.03892022559921388,-0.16452159269297684,0.4968553459119497,11831.024569728863,1.038324433212562,0.008695378563091905
Random Forest,0.028752526029475315,0.037220731988892745,-0.06504183511940753,0.4937106918238994,13509.458495870596,1.7911898149153085,0.008756447848175045
Ensemble,0.029312073057836577,0.0374588657119613,-0.07871344695561322,0.49056603773584906,12536.520137702952,1.2607800355023826,0.009559763108989617
