Model,MAE,RMSE,R2,DirectionAccuracy,Samples,Error
LSTM,0.012337446178423042,0.017288713165388145,-0.019158746067599042,0.5093167701863354,322,
Dense NN,0.013566628944064718,0.01818276706198057,-0.1272920592841189,0.4906832298136646,322,
Random Forest,0.012361857676425147,0.017244524450822425,-0.013955610244291483,0.46273291925465837,322,
XGBoost,0.012829559373042794,0.017924336161426434,-0.09547547260272427,0.5124223602484472,322,
Ensemble,0.012418315535499894,0.01738502406850807,-0.030545307843948155,0.4937888198757764,322,
