Model,MAE,RMSE,R2,DirectionAccuracy,Samples,Error
LSTM,0.031835593868980605,0.040616593809644504,-0.015860380084922854,0.5015384615384615,325,
Dense NN,0.03507248917807724,0.045102744876215704,-0.252659306354422,0.5384615384615384,325,
Random Forest,0.03330862359530951,0.04263239711066622,-0.11919697649558914,0.5415384615384615,325,
XGBoost,0.03581075168766657,0.04516706670012451,-0.2562347333077186,0.5415384615384615,325,
LightGBM,0.03505479791692128,0.0443998378816417,-0.2139192314719609,0.5046153846153846,325,
Ensemble,0.03418413694842674,0.04325803176538133,-0.1522866583198681,0.52,325,
