Model,MAE,RMSE,R2,DirectionAccuracy,Samples,Error
LSTM,0.02250409341748621,0.03141326785466574,-0.010257110301088224,0.5401234567901234,324,
Dense NN,0.02536541481634467,0.03355329518250747,-0.15259315448550237,0.5,324,
Random Forest,0.023165391135259738,0.03182094937817705,-0.03664950861435812,0.49382716049382713,324,
XGBoost,0.025643082628090643,0.034602671736228524,-0.22581504213773873,0.4722222222222222,324,
Ensemble,0.024153360840874036,0.03283482520914121,-0.10376113600430314,0.4691358024691358,324,
