Model,MAE,RMSE,R2,DirectionAcc,FinalPortfolio,Sharpe,Volatility
LSTM,0.03429145170712827,0.042555567113647344,-0.006533054637614111,0.575,19750.507414730077,1.649032694756382,0.023134064153787295
Dense NN,0.03970963831040227,0.05085607082621134,-0.43747692943064753,0.5375,14259.658651466369,1.9074166981350005,0.009656655822001686
LightGBM,0.03512753253888805,0.043353908761895335,-0.04465237356488316,0.521875,15182.790495571156,1.6590685352889256,0.013396643939026955
Ensemble,0.0352500685428494,0.043395531855905126,-0.04665923006614037,0.50625,15281.714000309008,1.7585760276303162,0.012747888520037972
XGBoost,0.036571058626568405,0.044978319811277874,-0.12440231986255013,0.5,13090.07908654787,1.2519690824497003,0.0115541542177944
Random Forest,0.035318889439370935,0.04345400083953036,-0.049481563413927176,0.49375,15332.416044765487,1.915713056028565,0.011679571809017733
